#{"t_start": 1738098819.4928384, "env_id": "None"}
r,l,t
-3717893.56223,1499,55.151837
-1818556.533257,896,85.317674
-4716305.360485,1608,133.675708
-9234309.113264,3229,230.699343
-2126886.38748,1255,269.634328
-1413692.941967,1167,305.164112
-501971.220733,954,335.314053
-3305390.068932,2225,402.494711
-1315026.906398,954,431.817055
-1540515.346747,1479,477.377985
-2090423.039096,2150,542.351021
-1220877.511456,1421,586.297171
-6440776.618719,2023,647.666156
-1606426.086098,1401,690.009916
-12876562.177317,2853,776.617092
-5113906.848345,1463,820.751614
-785829.733822,821,847.281854
-2376958.881649,1900,905.055135
-5058357.2988,1427,949.475373
-4270340.440804,1780,1002.836197
-1459735.731779,982,1033.966849
-6450176.572146,3085,1126.212245
-7655481.915562,2379,1199.031225
-4872253.69924,2460,1273.233823
-4582190.688942,2113,1337.225835
-2484816.715843,1477,1381.764989
-2577308.600779,1505,1428.122025
-1614060.538982,959,1458.636241
-1119389.007671,844,1484.749078
-1239260.249448,1418,1528.507043
-3728699.075655,2160,1593.887171
-7480033.886827,3248,1690.918211
-630169.370084,1216,1728.85958
-1816713.059484,1289,1768.800466
-3029737.469744,1298,1808.139598
-3458331.248189,1656,1858.892533
-4026407.562445,1981,1919.058298
-861064.108336,1283,1959.006555
-2921688.786674,1532,2005.160186
-2125873.016735,1271,2044.692213
-1998493.08371,2787,2128.300096
-3543315.044772,2728,2211.123091
-3604789.59952,1319,2251.070418
-1334344.979397,1135,2286.597196
-2737043.678934,1266,2325.936367
-2294315.704101,2664,2405.936144
-982759.366376,1174,2441.662311
-2283687.087962,2195,2509.339533
-13216190.421511,3544,2614.981346
-1222988.286754,2646,2695.387043
-4736999.901237,1725,2747.143194
-10165296.711319,4011,2867.424187
-2312647.714898,1417,2911.182374
-2124074.743494,1336,2952.526007
-2137603.375699,1622,3001.294172
-1002814.700716,1714,3053.675784
-8416211.325268,3969,3172.743036
-2305931.853161,1610,3222.096359
-2154269.783634,1662,3273.052518
-9070558.366261,2216,3340.033064
-1476191.279825,1569,3388.18684
-11603916.074922,3331,3487.626709
-1360306.179937,1376,3530.174411
-2298002.443477,2202,3596.771209
-2259310.591007,1819,3652.148384
-5429394.021949,2130,3716.732115
-2026755.443653,1163,3753.069997
-1004954.106871,1202,3789.599407
-2380453.272518,1774,3843.765241
-4969599.309236,2433,3917.16134
-2972952.811076,1417,3960.936334
-1935240.627259,1538,4008.286346
-12382070.758614,2367,4079.671407
-1943614.931149,1643,4130.045066
-1199645.908786,1422,4172.983168
-2598890.452829,972,4203.903908
-668467.249392,1078,4236.827224
-13075783.220416,2761,4320.831504
-1144766.281645,920,4349.161214
-3585091.523591,1793,4403.917531
-2928089.134864,1112,4439.248439
-948601.306162,906,4467.181087
-2778617.545919,1803,4522.142109
-1963262.63781,1057,4554.464957
-1519131.209232,1540,4601.822133
-5123440.337751,1925,4660.387008
-1500981.734349,2656,4740.396473
-1763075.011286,1171,4776.940652
-574723.842281,1188,4813.065288
-4294460.070366,2176,4879.849111
-1747592.997368,2732,4961.853621
-1317772.882072,2018,5023.225842
-1842912.205569,1736,5076.186982
-651339.032242,1140,5110.917743
-2981945.193987,1043,5143.844288
-9342781.823041,2925,5231.470163
-1375212.081912,1596,5280.447875
-1674894.740228,1308,5321.191644
-5086595.674815,1546,5367.750645
-6854980.798126,1416,5411.51209
-1896571.712301,2325,5481.692328
-4279403.615205,2591,5559.693026
-1373143.199425,1872,5616.669354
-1213422.727876,1067,5650.22249
-2753844.320419,2346,5721.021338
-1067536.304163,610,5740.351191
-5865109.975551,1830,5796.128222
-4936485.334387,1443,5840.674402
-1779985.893606,1170,5877.220298
-1495633.837783,782,5901.53252
-751973.633928,1209,5938.27423
-3524223.253029,1901,5996.042479
-2679552.954959,1333,6037.382152
-3964041.08751,1784,6091.943935
